job n,threads,country,random,seed,time
1 , 1 , lausanne , true , 1 , 52
1 , 2 , lausanne , true , 1 , 57
1 , 3 , lausanne , true , 1 , 56
1 , 4 , lausanne , true , 1 , 51
1 , 5 , lausanne , true , 1 , 58
1 , 6 , lausanne , true , 1 , 72
1 , 7 , lausanne , true , 1 , 68
1 , 8 , lausanne , true , 1 , 60
1 , 9 , lausanne , true , 1 , 10
1 , 10 , lausanne , true , 1 , 16
1 , 11 , lausanne , true , 1 , 11
1 , 12 , lausanne , true , 1 , 11
1 , 13 , lausanne , true , 1 , 10
1 , 14 , lausanne , true , 1 , 12
1 , 15 , lausanne , true , 1 , 13
1 , 16 , lausanne , true , 1 , 18
1 , 17 , lausanne , true , 1 , 9
1 , 18 , lausanne , true , 1 , 11
1 , 19 , lausanne , true , 1 , 10
1 , 20 , lausanne , true , 1 , 12
1 , 21 , lausanne , true , 1 , 10
1 , 22 , lausanne , true , 1 , 10
1 , 23 , lausanne , true , 1 , 10
1 , 24 , lausanne , true , 1 , 11
1 , 25 , lausanne , true , 1 , 9
1 , 26 , lausanne , true , 1 , 13
1 , 27 , lausanne , true , 1 , 21
1 , 28 , lausanne , true , 1 , 24
1 , 29 , lausanne , true , 1 , 17
1 , 30 , lausanne , true , 1 , 11
1 , 31 , lausanne , true , 1 , 11
1 , 32 , lausanne , true , 1 , 11
1 , 33 , lausanne , true , 1 , 16
1 , 34 , lausanne , true , 1 , 10
1 , 35 , lausanne , true , 1 , 10
1 , 36 , lausanne , true , 1 , 9
1 , 37 , lausanne , true , 1 , 11
1 , 38 , lausanne , true , 1 , 9
1 , 39 , lausanne , true , 1 , 12
1 , 40 , lausanne , true , 1 , 12
1 , 41 , lausanne , true , 1 , 12
1 , 42 , lausanne , true , 1 , 9
1 , 43 , lausanne , true , 1 , 12
1 , 44 , lausanne , true , 1 , 19
1 , 45 , lausanne , true , 1 , 11
1 , 46 , lausanne , true , 1 , 10
1 , 47 , lausanne , true , 1 , 21
1 , 48 , lausanne , true , 1 , 10
1 , 49 , lausanne , true , 1 , 12
1 , 50 , lausanne , true , 1 , 10
1 , 51 , lausanne , true , 1 , 12
1 , 52 , lausanne , true , 1 , 11
1 , 53 , lausanne , true , 1 , 13
1 , 54 , lausanne , true , 1 , 10
1 , 55 , lausanne , true , 1 , 13
1 , 56 , lausanne , true , 1 , 16
1 , 57 , lausanne , true , 1 , 12
1 , 58 , lausanne , true , 1 , 9
1 , 59 , lausanne , true , 1 , 12
1 , 60 , lausanne , true , 1 , 11
1 , 61 , lausanne , true , 1 , 8
1 , 62 , lausanne , true , 1 , 15
1 , 63 , lausanne , true , 1 , 13
1 , 64 , lausanne , true , 1 , 11
1 , 1 , swiss , true , 1 , 9
1 , 2 , swiss , true , 1 , 9
1 , 3 , swiss , true , 1 , 9
1 , 4 , swiss , true , 1 , 9
1 , 5 , swiss , true , 1 , 10
1 , 6 , swiss , true , 1 , 10
1 , 7 , swiss , true , 1 , 9
1 , 8 , swiss , true , 1 , 9
1 , 9 , swiss , true , 1 , 9
1 , 10 , swiss , true , 1 , 11
1 , 11 , swiss , true , 1 , 9
1 , 12 , swiss , true , 1 , 9
1 , 13 , swiss , true , 1 , 9
1 , 14 , swiss , true , 1 , 8
1 , 15 , swiss , true , 1 , 10
1 , 16 , swiss , true , 1 , 10
1 , 17 , swiss , true , 1 , 9
1 , 18 , swiss , true , 1 , 9
1 , 19 , swiss , true , 1 , 10
1 , 20 , swiss , true , 1 , 10
1 , 21 , swiss , true , 1 , 11
1 , 22 , swiss , true , 1 , 13
1 , 23 , swiss , true , 1 , 9
1 , 24 , swiss , true , 1 , 11
1 , 25 , swiss , true , 1 , 10
1 , 26 , swiss , true , 1 , 13
1 , 27 , swiss , true , 1 , 12
