job n,country,random,seed,time
19 , lausanne , true , 19 , 106
19 , swiss , true , 19 , 97
19 , lausanne , false , 19 , 120
19 , swiss , false , 19 , 111
20 , lausanne , true , 20 , 89
20 , swiss , true , 20 , 88
20 , lausanne , false , 20 , 102
20 , swiss , false , 20 , 92
21 , lausanne , true , 21 , 99
21 , swiss , true , 21 , 90
21 , lausanne , false , 21 , 103
21 , swiss , false , 21 , 98
22 , lausanne , true , 22 , 130
22 , swiss , true , 22 , 119
22 , lausanne , false , 22 , 133
22 , swiss , false , 22 , 113
23 , lausanne , true , 23 , 105
23 , swiss , true , 23 , 89
23 , lausanne , false , 23 , 147
23 , swiss , false , 23 , 106
24 , lausanne , true , 24 , 106
24 , swiss , true , 24 , 100
24 , lausanne , false , 24 , 129
24 , swiss , false , 24 , 107
25 , lausanne , true , 25 , 146
25 , swiss , true , 25 , 114
25 , lausanne , false , 25 , 152
25 , swiss , false , 25 , 110
26 , lausanne , true , 26 , 124
26 , swiss , true , 26 , 106
26 , lausanne , false , 26 , 160
26 , swiss , false , 26 , 113
27 , lausanne , true , 27 , 164
27 , swiss , true , 27 , 112
27 , lausanne , false , 27 , 170
27 , swiss , false , 27 , 124
28 , lausanne , true , 28 , 144
28 , swiss , true , 28 , 103
28 , lausanne , false , 28 , 180
28 , swiss , false , 28 , 107
29 , lausanne , true , 29 , 220
29 , swiss , true , 29 , 146
29 , lausanne , false , 29 , 205
29 , swiss , false , 29 , 120
30 , lausanne , true , 30 , 211
30 , swiss , true , 30 , 116
30 , lausanne , false , 30 , 245
30 , swiss , false , 30 , 117
